day,week,temp
2021-01-01,Friday,-10.4
2021-01-02,Saturday,-8.4
2021-01-03,Sunday,-10.1
2021-01-04,Monday,-10.4
2021-01-05,Tuesday,-9.3
2021-01-06,Wednesday,-12.4
2021-01-07,Thursday,-15.9
2021-01-08,Friday,-18.6
2021-01-09,Saturday,-18.6
2021-01-10,Sunday,-16.8
2021-01-11,Monday,-12.5
2021-01-12,Tuesday,-11
2021-01-13,Wednesday,-4.9
2021-01-14,Thursday,-5.3
2021-01-15,Friday,-1.6
2021-01-16,Saturday,-7.3
2021-01-17,Sunday,-11.1
2021-01-18,Monday,-8.2
2021-01-19,Tuesday,-12.1
2021-01-20,Wednesday,-8.6
2021-01-21,Thursday,-0.2
2021-01-22,Friday,3.9
2021-01-23,Saturday,1.9
2021-01-24,Sunday,1.3
2021-01-25,Monday,0.6
2021-01-26,Tuesday,1
2021-01-27,Wednesday,-2.4
2021-01-28,Thursday,-8.6
2021-01-29,Friday,-11
2021-01-30,Saturday,-8.4
2021-01-31,Sunday,-5.8
2021-02-01,Monday,-1.3
2021-02-02,Tuesday,-6.9
2021-02-03,Wednesday,-10.3
2021-02-04,Thursday,-8
2021-02-05,Friday,-6.4
2021-02-06,Saturday,0.8
2021-02-07,Sunday,-2.2
2021-02-08,Monday,-4.6
2021-02-09,Tuesday,-7.4
2021-02-10,Wednesday,-3.4
2021-02-11,Thursday,-1.3
2021-02-12,Friday,-1.6
2021-02-13,Saturday,-3.2
2021-02-14,Sunday,2.4
2021-02-15,Monday,-4.1
2021-02-16,Tuesday,-8
2021-02-17,Wednesday,-9.8
2021-02-18,Thursday,-9.9
2021-02-19,Friday,8.1
2021-02-20,Saturday,0
2021-02-21,Sunday,1.7
2021-02-22,Monday,0.6
2021-02-23,Tuesday,-2.5
2021-02-24,Wednesday,-2.1
2021-02-25,Thursday,-2.2
2021-02-26,Friday,-1.3
2021-02-27,Saturday,3.5
2021-02-28,Sunday,0.9
2021-03-01,Monday,0.5
2021-03-02,Tuesday,0.6
2021-03-03,Wednesday,-2.1
2021-03-04,Thursday,0.4
2021-03-05,Friday,1
2021-03-06,Saturday,4
2021-03-07,Sunday,2.2
2021-03-08,Monday,1.2
2021-03-09,Tuesday,-0.5
2021-03-10,Wednesday,-0.3
2021-03-11,Thursday,1.5
2021-03-12,Friday,6.8
2021-03-13,Saturday,2.7
2021-03-14,Sunday,1.6
2021-03-15,Monday,2.3
2021-03-16,Tuesday,4.5
2021-03-17,Wednesday,0.5
2021-03-18,Thursday,1.2
2021-03-19,Friday,9
2021-03-20,Saturday,6
2021-03-21,Sunday,3.6
2021-03-22,Monday,1
2021-03-23,Tuesday,1.5
2021-03-24,Wednesday,4
2021-03-25,Thursday,5.4
2021-03-26,Friday,4.3
2021-03-27,Saturday,6.7
2021-03-28,Sunday,7.5
2021-03-29,Monday,5.7
2021-03-30,Tuesday,1.6
2021-03-31,Wednesday,2.2
